# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.410526      	smoothSolver	2.859820e-03	1.738100e-10	4	true	DICPCG	8.088290e-03	2.721070e-04	1	true
0.415789      	smoothSolver	2.856530e-03	1.768770e-10	4	true	DICPCG	8.189480e-03	2.884270e-04	1	true
0.420743      	smoothSolver	2.677500e-03	9.038520e-09	3	true	DICPCG	7.771550e-03	2.905440e-04	1	true
0.425405      	smoothSolver	2.515750e-03	6.074750e-09	3	true	DICPCG	7.380450e-03	2.972360e-04	1	true
0.430067      	smoothSolver	2.514890e-03	5.719780e-09	3	true	DICPCG	7.390500e-03	3.215810e-04	1	true
0.43473       	smoothSolver	2.505760e-03	5.152120e-09	3	true	DICPCG	7.512200e-03	3.099460e-04	1	true
0.439081      	smoothSolver	2.328040e-03	3.548410e-09	3	true	DICPCG	7.009410e-03	2.514330e-04	1	true
0.443432      	smoothSolver	2.320670e-03	3.938640e-09	3	true	DICPCG	6.978410e-03	2.530360e-04	1	true
0.447784      	smoothSolver	2.309150e-03	4.584360e-09	3	true	DICPCG	6.971790e-03	2.551100e-04	1	true
0.452135      	smoothSolver	2.302790e-03	5.266760e-09	3	true	DICPCG	6.909910e-03	2.597120e-04	1	true
0.456486      	smoothSolver	2.307940e-03	5.887910e-09	3	true	DICPCG	7.102190e-03	2.525070e-04	1	true
0.460838      	smoothSolver	2.315950e-03	6.478360e-09	3	true	DICPCG	7.063840e-03	2.622980e-04	1	true
0.465189      	smoothSolver	2.321050e-03	6.987850e-09	3	true	DICPCG	7.060830e-03	2.768190e-04	1	true
0.46954       	smoothSolver	2.323020e-03	7.348120e-09	3	true	DICPCG	7.008280e-03	2.860720e-04	1	true
0.473892      	smoothSolver	2.324740e-03	7.619090e-09	3	true	DICPCG	7.230710e-03	2.842670e-04	1	true
0.478243      	smoothSolver	2.328450e-03	7.767330e-09	3	true	DICPCG	7.170950e-03	2.675070e-04	1	true
0.482595      	smoothSolver	2.329150e-03	7.758530e-09	3	true	DICPCG	7.154360e-03	2.907170e-04	1	true
0.486946      	smoothSolver	2.323220e-03	7.602730e-09	3	true	DICPCG	7.274150e-03	2.715700e-04	1	true
0.491297      	smoothSolver	2.315480e-03	7.388770e-09	3	true	DICPCG	7.336910e-03	2.835130e-04	1	true
0.495649      	smoothSolver	2.323120e-03	7.143910e-09	3	true	DICPCG	7.177500e-03	2.869750e-04	1	true
0.5           	smoothSolver	2.330510e-03	6.870940e-09	3	true	DICPCG	7.531700e-03	2.972310e-04	1	true
0.505         	smoothSolver	2.679510e-03	1.164050e-10	4	true	DICPCG	8.592270e-03	2.893290e-04	1	true
0.510588      	smoothSolver	3.001990e-03	2.329240e-10	4	true	DICPCG	9.901940e-03	2.701550e-04	1	true
0.516176      	smoothSolver	3.021400e-03	2.251400e-10	4	true	DICPCG	9.939260e-03	2.636390e-04	1	true
0.521765      	smoothSolver	3.022220e-03	2.279310e-10	4	true	DICPCG	9.936250e-03	2.795530e-04	1	true
0.527783      	smoothSolver	3.244720e-03	3.636050e-10	4	true	DICPCG	1.062300e-02	3.101200e-04	1	true
0.533801      	smoothSolver	3.253950e-03	3.487140e-10	4	true	DICPCG	1.061730e-02	3.341770e-04	1	true
0.539819      	smoothSolver	3.266250e-03	3.244870e-10	4	true	DICPCG	1.064840e-02	3.630320e-04	1	true
0.545837      	smoothSolver	3.264380e-03	2.970260e-10	4	true	DICPCG	1.057680e-02	3.486170e-04	1	true
0.551855      	smoothSolver	3.276160e-03	2.741720e-10	4	true	DICPCG	1.051110e-02	3.571000e-04	1	true
0.557873      	smoothSolver	3.288180e-03	2.557930e-10	4	true	DICPCG	1.044560e-02	3.506770e-04	1	true
0.563891      	smoothSolver	3.296590e-03	2.424500e-10	4	true	DICPCG	1.037770e-02	3.663880e-04	1	true
0.56991       	smoothSolver	3.307920e-03	2.328110e-10	4	true	DICPCG	1.023630e-02	3.928620e-04	1	true
0.575928      	smoothSolver	3.324550e-03	2.259940e-10	4	true	DICPCG	1.031950e-02	3.675840e-04	1	true
