# Region type : patch inlet
# Faces         : 16
# Area          : 4.00000000e+00
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
100             	-3.46626709e+00
200             	-3.46626709e+00
300             	-3.46626709e+00
400             	-3.46626709e+00
500             	-3.46626709e+00
600             	-3.46626709e+00
700             	-3.46626709e+00
800             	-3.46626709e+00
900             	-3.46626709e+00
1000            	-3.46626709e+00
