# Region type : patch outlet
# Faces         : 24
# Area          : 6.00000000e+00
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
100             	3.46637904e+00
200             	3.46626735e+00
300             	3.46626664e+00
400             	3.46626708e+00
500             	3.46626716e+00
600             	3.46626707e+00
700             	3.46626707e+00
800             	3.46626712e+00
900             	3.46626711e+00
1000            	3.46626713e+00
