# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.316413      	smoothSolver	2.344250e-03	6.488760e-09	3	true	DICPCG	9.978060e-03	3.700400e-04	1	true
0.319399      	smoothSolver	2.244300e-03	6.608140e-09	3	true	DICPCG	9.615020e-03	3.519240e-04	1	true
0.322384      	smoothSolver	2.234900e-03	7.739830e-09	3	true	DICPCG	9.862500e-03	3.386810e-04	1	true
0.325258      	smoothSolver	2.145250e-03	6.953880e-09	3	true	DICPCG	9.540660e-03	3.307270e-04	1	true
0.328027      	smoothSolver	2.064290e-03	6.087140e-09	3	true	DICPCG	9.247970e-03	2.988600e-04	1	true
0.330795      	smoothSolver	2.059500e-03	6.274330e-09	3	true	DICPCG	9.340490e-03	3.077750e-04	1	true
0.333457      	smoothSolver	1.976780e-03	5.018810e-09	3	true	DICPCG	9.072230e-03	3.059420e-04	1	true
0.336016      	smoothSolver	1.894500e-03	4.088990e-09	3	true	DICPCG	8.840550e-03	3.070920e-04	1	true
0.338575      	smoothSolver	1.887090e-03	4.360470e-09	3	true	DICPCG	8.918420e-03	3.199570e-04	1	true
0.341032      	smoothSolver	1.804730e-03	3.767380e-09	3	true	DICPCG	8.655100e-03	3.250980e-04	1	true
0.343391      	smoothSolver	1.730220e-03	3.260140e-09	3	true	DICPCG	8.360260e-03	3.264550e-04	1	true
0.34575       	smoothSolver	1.732230e-03	3.519830e-09	3	true	DICPCG	8.360070e-03	3.338550e-04	1	true
0.34801       	smoothSolver	1.660730e-03	2.867790e-09	3	true	DICPCG	8.048620e-03	3.357790e-04	1	true
0.350271      	smoothSolver	1.659680e-03	2.851970e-09	3	true	DICPCG	7.993300e-03	3.156790e-04	1	true
0.352433      	smoothSolver	1.584420e-03	2.052400e-09	3	true	DICPCG	7.686680e-03	2.683810e-04	1	true
0.354595      	smoothSolver	1.578380e-03	1.849310e-09	3	true	DICPCG	7.719720e-03	2.642380e-04	1	true
0.356659      	smoothSolver	1.500710e-03	1.257180e-09	3	true	DICPCG	7.440220e-03	2.556490e-04	1	true
0.358629      	smoothSolver	1.426520e-03	8.964570e-10	3	true	DICPCG	7.189390e-03	2.546290e-04	1	true
0.360599      	smoothSolver	1.421320e-03	9.132600e-10	3	true	DICPCG	7.226070e-03	2.630030e-04	1	true
0.362475      	smoothSolver	1.349100e-03	7.176750e-10	3	true	DICPCG	6.926580e-03	2.616360e-04	1	true
0.364351      	smoothSolver	1.345950e-03	7.800510e-10	3	true	DICPCG	6.948340e-03	2.725970e-04	1	true
0.366134      	smoothSolver	1.275490e-03	6.058730e-10	3	true	DICPCG	6.632070e-03	2.689710e-04	1	true
0.367916      	smoothSolver	1.274190e-03	6.170410e-10	3	true	DICPCG	6.650630e-03	2.764090e-04	1	true
0.369605      	smoothSolver	1.206450e-03	4.268360e-10	3	true	DICPCG	6.334630e-03	2.680120e-04	1	true
0.371293      	smoothSolver	1.205480e-03	3.977230e-10	3	true	DICPCG	6.349220e-03	2.639900e-04	1	true
0.372982      	smoothSolver	1.204040e-03	3.694710e-10	3	true	DICPCG	6.365190e-03	2.614100e-04	1	true
0.374571      	smoothSolver	1.131040e-03	2.411740e-10	3	true	DICPCG	6.005680e-03	2.474320e-04	1	true
0.376161      	smoothSolver	1.128840e-03	2.484030e-10	3	true	DICPCG	6.006600e-03	2.513570e-04	1	true
0.377651      	smoothSolver	1.055820e-03	1.783330e-10	3	true	DICPCG	5.623840e-03	2.451770e-04	1	true
0.379141      	smoothSolver	1.053590e-03	1.976630e-10	3	true	DICPCG	5.680830e-03	2.281810e-04	1	true
0.380631      	smoothSolver	1.053260e-03	2.228750e-10	3	true	DICPCG	5.664020e-03	2.367270e-04	1	true
0.382014      	smoothSolver	9.763870e-04	1.584620e-10	3	true	DICPCG	5.254900e-03	2.342910e-04	1	true
0.383398      	smoothSolver	9.744060e-04	1.793880e-10	3	true	DICPCG	5.242300e-03	2.445070e-04	1	true
0.384781      	smoothSolver	9.728220e-04	1.975940e-10	3	true	DICPCG	5.204620e-03	2.347070e-04	1	true
0.386049      	smoothSolver	8.894890e-04	9.853230e-09	2	true	DICPCG	4.868560e-03	2.331980e-04	1	true
0.387318      	smoothSolver	8.872340e-04	9.772900e-09	2	true	DICPCG	4.871520e-03	2.380020e-04	1	true
0.388586      	smoothSolver	8.859570e-04	9.522990e-09	2	true	DICPCG	4.893520e-03	2.386300e-04	1	true
0.389854      	smoothSolver	8.843170e-04	9.226700e-09	2	true	DICPCG	4.907630e-03	2.396700e-04	1	true
0.391122      	smoothSolver	8.816680e-04	8.979360e-09	2	true	DICPCG	4.912770e-03	2.411620e-04	1	true
0.392232      	smoothSolver	7.698980e-04	4.693480e-09	2	true	DICPCG	4.315480e-03	8.040730e-05	2	true
0.393342      	smoothSolver	7.691560e-04	4.756010e-09	2	true	DICPCG	4.227210e-03	7.876420e-05	2	true
0.394451      	smoothSolver	7.689060e-04	4.801560e-09	2	true	DICPCG	4.241800e-03	1.960600e-04	1	true
0.395561      	smoothSolver	7.684020e-04	4.852170e-09	2	true	DICPCG	4.251660e-03	1.940130e-04	1	true
0.396671      	smoothSolver	7.685100e-04	4.984580e-09	2	true	DICPCG	4.281670e-03	1.925830e-04	1	true
0.397781      	smoothSolver	7.685540e-04	5.202500e-09	2	true	DICPCG	4.288890e-03	1.955940e-04	1	true
0.39889       	smoothSolver	7.675500e-04	5.523640e-09	2	true	DICPCG	4.293740e-03	2.031390e-04	1	true
0.4           	smoothSolver	7.662060e-04	5.902600e-09	2	true	DICPCG	4.265080e-03	2.057440e-04	1	true
0.401         	smoothSolver	6.883590e-04	3.811550e-09	2	true	DICPCG	3.901740e-03	1.929320e-04	1	true
0.40198       	smoothSolver	6.728830e-04	3.747760e-09	2	true	DICPCG	3.811660e-03	7.094720e-05	2	true
0.402951      	smoothSolver	6.645860e-04	3.814300e-09	2	true	DICPCG	3.769300e-03	7.071520e-05	2	true
0.403902      	smoothSolver	6.501220e-04	3.674670e-09	2	true	DICPCG	3.725250e-03	8.673720e-05	2	true
0.404835      	smoothSolver	6.366350e-04	3.517800e-09	2	true	DICPCG	3.607220e-03	7.364040e-05	2	true
0.40575       	smoothSolver	6.239700e-04	3.383130e-09	2	true	DICPCG	3.584470e-03	6.990000e-05	2	true
0.406648      	smoothSolver	6.117730e-04	3.301870e-09	2	true	DICPCG	3.530580e-03	6.995960e-05	2	true
0.407528      	smoothSolver	5.992890e-04	3.234420e-09	2	true	DICPCG	3.491470e-03	7.301060e-05	2	true
0.408393      	smoothSolver	5.868920e-04	3.200140e-09	2	true	DICPCG	3.445410e-03	7.167150e-05	2	true
0.409241      	smoothSolver	5.747910e-04	3.206020e-09	2	true	DICPCG	3.374540e-03	7.042380e-05	2	true
0.410081      	smoothSolver	5.682320e-04	3.368050e-09	2	true	DICPCG	3.327180e-03	6.873580e-05	2	true
0.410906      	smoothSolver	5.566290e-04	3.341440e-09	2	true	DICPCG	3.247710e-03	6.570500e-05	2	true
0.411716      	smoothSolver	5.453260e-04	3.248820e-09	2	true	DICPCG	3.186160e-03	6.353090e-05	2	true
0.412512      	smoothSolver	5.344510e-04	3.061120e-09	2	true	DICPCG	3.160720e-03	6.757610e-05	2	true
0.413293      	smoothSolver	5.238900e-04	2.803650e-09	2	true	DICPCG	3.115580e-03	6.139120e-05	2	true
0.414067      	smoothSolver	5.186770e-04	2.631140e-09	2	true	DICPCG	3.086240e-03	6.095550e-05	2	true
0.414827      	smoothSolver	5.091330e-04	2.335260e-09	2	true	DICPCG	3.045080e-03	6.056080e-05	2	true
0.415581      	smoothSolver	5.038940e-04	2.191790e-09	2	true	DICPCG	3.035480e-03	5.946960e-05	2	true
0.416322      	smoothSolver	4.943940e-04	2.015480e-09	2	true	DICPCG	3.000120e-03	6.029260e-05	2	true
0.417056      	smoothSolver	4.893970e-04	1.975270e-09	2	true	DICPCG	2.992870e-03	6.162730e-05	2	true
0.417783      	smoothSolver	4.844690e-04	1.970280e-09	2	true	DICPCG	2.979450e-03	6.225480e-05	2	true
0.418504      	smoothSolver	4.798140e-04	2.017910e-09	2	true	DICPCG	2.960770e-03	6.610830e-05	2	true
0.419226      	smoothSolver	4.791340e-04	2.191540e-09	2	true	DICPCG	2.959730e-03	7.109170e-05	2	true
0.41994       	smoothSolver	4.741310e-04	2.295150e-09	2	true	DICPCG	2.926710e-03	6.689780e-05	2	true
0.420662      	smoothSolver	4.776000e-04	2.637140e-09	2	true	DICPCG	2.986180e-03	7.731340e-05	2	true
0.42139       	smoothSolver	4.811200e-04	3.033040e-09	2	true	DICPCG	3.023430e-03	7.862480e-05	2	true
0.422131      	smoothSolver	4.894580e-04	3.629580e-09	2	true	DICPCG	3.089750e-03	7.663930e-05	2	true
0.422895      	smoothSolver	5.037760e-04	4.554690e-09	2	true	DICPCG	3.175480e-03	9.086600e-05	2	true
0.423643      	smoothSolver	4.936500e-04	4.510950e-09	2	true	DICPCG	3.098300e-03	9.594750e-05	2	true
0.424384      	smoothSolver	4.882680e-04	4.750900e-09	2	true	DICPCG	3.052770e-03	9.131440e-05	2	true
0.425119      	smoothSolver	4.827820e-04	5.049530e-09	2	true	DICPCG	3.021660e-03	9.793990e-05	2	true
0.425846      	smoothSolver	4.772670e-04	5.443310e-09	2	true	DICPCG	2.986880e-03	1.033240e-04	2	true
0.426566      	smoothSolver	4.719540e-04	5.972350e-09	2	true	DICPCG	2.957890e-03	1.049080e-04	2	true
0.427286      	smoothSolver	4.712760e-04	6.971900e-09	2	true	DICPCG	2.986330e-03	6.006660e-05	3	true
0.427998      	smoothSolver	4.658580e-04	8.014790e-09	2	true	DICPCG	2.976800e-03	5.917490e-05	3	true
