# Solver information
# Time              	p_rgh_solver        	p_rgh_initial       	p_rgh_final         	p_rgh_iters         	p_rgh_converged     
1.08333333333       	GAMG	1.094485855330e-01	5.243543340660e-04	1	true
1.1                 	GAMG	1.082007889540e-01	4.083845700540e-04	1	true
1.1125              	GAMG	1.076854775950e-01	3.210871268220e-04	1	true
1.125               	GAMG	1.247089977950e-01	3.562642871660e-04	1	true
1.1375              	GAMG	1.412370609830e-01	4.338420110940e-04	1	true
1.15                	GAMG	1.512566145300e-01	5.231693007280e-04	1	true
1.16                	GAMG	1.247017605270e-01	5.729434331000e-04	1	true
1.17                	GAMG	1.236335677560e-01	6.994968584520e-04	1	true
1.18                	GAMG	1.432513457730e-01	8.055763541630e-04	1	true
1.19                	GAMG	1.643388905420e-01	9.068881865950e-04	1	true
1.2                 	GAMG	1.780632658410e-01	9.659394062300e-04	1	true
1.20833333333       	GAMG	1.591949047950e-01	7.448002318030e-04	1	true
1.21666666667       	GAMG	1.607639277240e-01	6.964600720360e-04	1	true
1.225               	GAMG	1.514244045300e-01	5.425651356970e-04	1	true
1.23333333333       	GAMG	1.526816975790e-01	4.679861073960e-04	1	true
1.24166666667       	GAMG	1.708108805920e-01	5.780078300250e-04	1	true
1.25                	GAMG	1.842703853170e-01	7.153414819050e-04	1	true
1.25833333333       	GAMG	1.940425255920e-01	8.388009496740e-04	1	true
1.26666666667       	GAMG	1.906539522700e-01	9.411648611590e-04	1	true
1.275               	GAMG	1.739160977880e-01	9.900938827380e-04	1	true
1.28333333333       	GAMG	1.627362596600e-01	9.317053708160e-04	1	true
1.29166666667       	GAMG	1.822088164480e-01	9.595063214500e-04	1	true
1.3                 	GAMG	2.016502095360e-01	9.817310058090e-04	1	true
1.30714285714       	GAMG	1.819316565790e-01	8.082949916300e-04	1	true
1.31428571429       	GAMG	1.797521073530e-01	7.386900193780e-04	1	true
1.32142857143       	GAMG	1.718496877580e-01	6.959195669640e-04	1	true
1.32857142857       	GAMG	1.520323751850e-01	5.485381809430e-04	1	true
1.33571428571       	GAMG	1.598401293580e-01	5.445146542310e-04	1	true
1.34285714286       	GAMG	1.773912464240e-01	6.570398883150e-04	1	true
1.35                	GAMG	1.915632580210e-01	8.418668425550e-04	1	true
1.35625             	GAMG	1.744854989110e-01	7.625071386540e-04	1	true
1.3625              	GAMG	1.696425724150e-01	7.577611370890e-04	1	true
1.36875             	GAMG	1.612162106650e-01	7.586351067210e-04	1	true
1.375               	GAMG	1.484209291770e-01	7.472874021360e-04	1	true
1.38125             	GAMG	1.312908078490e-01	6.949957399460e-04	1	true
1.3875              	GAMG	1.378699347930e-01	6.983521481620e-04	1	true
1.39375             	GAMG	1.480047875180e-01	7.145352339560e-04	1	true
1.4                 	GAMG	1.538457060700e-01	7.518259045300e-04	1	true
1.40555555556       	GAMG	1.408116372670e-01	6.795321296810e-04	1	true
1.41111111111       	GAMG	1.428456786630e-01	6.997116032800e-04	1	true
1.41666666667       	GAMG	1.464447530400e-01	6.985296874550e-04	1	true
1.42222222222       	GAMG	1.423737363280e-01	6.758018295990e-04	1	true
1.42777777778       	GAMG	1.330325185790e-01	5.806438046380e-04	1	true
1.43333333333       	GAMG	1.208130112190e-01	4.726902390180e-04	1	true
1.43888888889       	GAMG	1.119187502970e-01	3.552329939330e-04	1	true
1.44444444444       	GAMG	1.192642678640e-01	3.635229027140e-04	1	true
1.45                	GAMG	1.241522757980e-01	4.245754176430e-04	1	true
1.45555555556       	GAMG	1.293357019750e-01	4.868909363840e-04	1	true
1.46111111111       	GAMG	1.436204882370e-01	5.650612154250e-04	1	true
1.46666666667       	GAMG	1.482798880030e-01	5.944465752900e-04	1	true
1.47222222222       	GAMG	1.495773851110e-01	6.231466247750e-04	1	true
1.47777777778       	GAMG	1.564852872500e-01	6.717935972430e-04	1	true
1.48333333333       	GAMG	1.569491352240e-01	6.656761997610e-04	1	true
1.48888888889       	GAMG	1.539225204400e-01	7.300421404660e-04	1	true
1.49444444444       	GAMG	1.553408180970e-01	7.845473413970e-04	1	true
1.5                 	GAMG	1.502481994990e-01	7.637409260050e-04	1	true
1.505               	GAMG	1.318732738190e-01	6.865260955180e-04	1	true
1.51                	GAMG	1.261854389640e-01	6.214453769700e-04	1	true
1.515               	GAMG	1.187777039550e-01	6.125072097830e-04	1	true
1.52                	GAMG	1.159515005010e-01	5.956747570110e-04	1	true
1.525               	GAMG	1.141403277030e-01	5.722217461180e-04	1	true
1.53                	GAMG	1.144931703340e-01	5.579076970320e-04	1	true
1.535               	GAMG	1.153726282700e-01	5.480583724680e-04	1	true
1.54                	GAMG	1.169998350660e-01	5.608128845010e-04	1	true
1.545               	GAMG	1.167209820820e-01	5.555766748720e-04	1	true
1.55                	GAMG	1.183363135910e-01	5.392721724880e-04	1	true
1.55416666667       	GAMG	1.002172227050e-01	4.376653314510e-04	1	true
1.55833333333       	GAMG	1.010103304370e-01	4.584639099050e-04	1	true
1.5625              	GAMG	1.004634230930e-01	4.726297524620e-04	1	true
1.56666666667       	GAMG	9.961166979550e-02	4.473993692120e-04	1	true
1.57083333333       	GAMG	1.006526902160e-01	4.446483607510e-04	1	true
