# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.496386      	DICPCG	8.449920e-03	3.242180e-04	1	true
0.5           	DICPCG	8.815030e-03	3.955620e-04	1	true
0.504         	DICPCG	9.793260e-03	4.384500e-04	1	true
0.508571      	DICPCG	1.103990e-02	4.557540e-04	1	true
0.513651      	DICPCG	1.217920e-02	4.518270e-04	1	true
0.518448      	DICPCG	1.144420e-02	4.195560e-04	1	true
0.52274       	DICPCG	1.076190e-02	4.741530e-04	1	true
0.527569      	DICPCG	1.230350e-02	5.799870e-04	1	true
0.533141      	DICPCG	1.397650e-02	6.277310e-04	1	true
0.537319      	DICPCG	1.039790e-02	4.364650e-04	1	true
0.541498      	DICPCG	1.016670e-02	3.953900e-04	1	true
0.546373      	DICPCG	1.215340e-02	5.337260e-04	1	true
0.551248      	DICPCG	1.221100e-02	5.219340e-04	1	true
0.556123      	DICPCG	1.213560e-02	5.162970e-04	1	true
0.560511      	DICPCG	1.076230e-02	4.436480e-04	1	true
0.565447      	DICPCG	1.278690e-02	2.314840e-04	2	true
0.569766      	DICPCG	1.102870e-02	5.217510e-04	1	true
0.574805      	DICPCG	1.251490e-02	5.576730e-04	1	true
0.579844      	DICPCG	1.273850e-02	6.338220e-04	1	true
0.584883      	DICPCG	1.234890e-02	5.725710e-04	1	true
0.589922      	DICPCG	1.251810e-02	2.203070e-04	2	true
0.594961      	DICPCG	1.177080e-02	5.455850e-04	1	true
0.6           	DICPCG	1.120140e-02	5.481100e-04	1	true
0.604167      	DICPCG	9.379850e-03	3.480440e-04	1	true
0.608333      	DICPCG	9.410580e-03	3.458130e-04	1	true
0.6125        	DICPCG	9.553870e-03	3.564270e-04	1	true
0.616667      	DICPCG	9.671710e-03	3.613060e-04	1	true
0.620833      	DICPCG	9.635940e-03	3.467190e-04	1	true
0.625         	DICPCG	9.697020e-03	3.457390e-04	1	true
0.629167      	DICPCG	9.948610e-03	3.813670e-04	1	true
0.633333      	DICPCG	1.008890e-02	4.163760e-04	1	true
0.6375        	DICPCG	1.017020e-02	4.218940e-04	1	true
0.641667      	DICPCG	1.019290e-02	4.071700e-04	1	true
0.645833      	DICPCG	1.019260e-02	3.544530e-04	1	true
0.65          	DICPCG	1.005150e-02	3.144580e-04	1	true
0.654167      	DICPCG	1.001900e-02	2.988360e-04	1	true
0.658333      	DICPCG	1.038510e-02	3.413680e-04	1	true
0.662121      	DICPCG	9.445270e-03	3.008620e-04	1	true
0.665909      	DICPCG	9.691090e-03	3.525630e-04	1	true
0.669697      	DICPCG	1.003940e-02	3.797130e-04	1	true
0.673485      	DICPCG	9.736120e-03	3.408240e-04	1	true
0.677273      	DICPCG	9.965550e-03	3.853230e-04	1	true
0.681061      	DICPCG	1.008930e-02	4.213910e-04	1	true
0.684848      	DICPCG	9.921520e-03	3.907030e-04	1	true
0.688636      	DICPCG	9.731510e-03	3.777490e-04	1	true
0.692424      	DICPCG	9.687120e-03	3.573390e-04	1	true
0.696212      	DICPCG	1.010030e-02	4.089870e-04	1	true
0.7           	DICPCG	1.006680e-02	4.024750e-04	1	true
0.703333      	DICPCG	8.856600e-03	3.390120e-04	1	true
0.706667      	DICPCG	8.654250e-03	3.136720e-04	1	true
0.71          	DICPCG	9.061120e-03	4.182290e-04	1	true
0.713333      	DICPCG	8.842000e-03	4.162120e-04	1	true
0.716667      	DICPCG	8.756320e-03	3.780540e-04	1	true
0.72          	DICPCG	8.749510e-03	3.686460e-04	1	true
0.723636      	DICPCG	9.788870e-03	4.339360e-04	1	true
0.727656      	DICPCG	1.043380e-02	4.008700e-04	1	true
0.732177      	DICPCG	1.181260e-02	5.180120e-04	1	true
0.737394      	DICPCG	1.270310e-02	5.197970e-04	1	true
0.74221       	DICPCG	1.067060e-02	3.235800e-04	1	true
0.746655      	DICPCG	1.037490e-02	3.647560e-04	1	true
0.750759      	DICPCG	9.811790e-03	3.081460e-04	1	true
0.754862      	DICPCG	9.955430e-03	3.055720e-04	1	true
0.758624      	DICPCG	9.078370e-03	2.778930e-04	1	true
0.762385      	DICPCG	8.998020e-03	2.535460e-04	1	true
0.766147      	DICPCG	8.853820e-03	2.397940e-04	1	true
0.769908      	DICPCG	8.860060e-03	2.566050e-04	1	true
0.774207      	DICPCG	1.041420e-02	3.333680e-04	1	true
0.778506      	DICPCG	1.050450e-02	3.306210e-04	1	true
0.782805      	DICPCG	1.070970e-02	3.222100e-04	1	true
0.787104      	DICPCG	1.090860e-02	3.454330e-04	1	true
0.791402      	DICPCG	1.067430e-02	3.073410e-04	1	true
0.795701      	DICPCG	1.048610e-02	3.077970e-04	1	true
0.8           	DICPCG	1.094490e-02	3.902210e-04	1	true
0.804167      	DICPCG	1.088910e-02	3.697440e-04	1	true
0.808333      	DICPCG	1.076360e-02	3.337490e-04	1	true
0.8125        	DICPCG	1.085660e-02	3.298410e-04	1	true
0.816667      	DICPCG	1.113260e-02	3.530050e-04	1	true
0.820635      	DICPCG	1.086150e-02	3.803570e-04	1	true
0.824603      	DICPCG	1.051260e-02	3.650750e-04	1	true
0.828571      	DICPCG	1.050670e-02	3.574570e-04	1	true
0.83254       	DICPCG	1.052680e-02	3.919080e-04	1	true
0.836508      	DICPCG	1.108300e-02	4.370960e-04	1	true
0.840476      	DICPCG	1.099480e-02	3.993400e-04	1	true
0.844444      	DICPCG	1.072930e-02	3.700340e-04	1	true
0.848148      	DICPCG	1.020640e-02	3.980650e-04	1	true
0.851852      	DICPCG	1.015790e-02	3.791980e-04	1	true
0.855556      	DICPCG	9.962310e-03	3.489010e-04	1	true
0.859259      	DICPCG	9.986940e-03	3.794480e-04	1	true
0.862963      	DICPCG	9.924360e-03	3.667080e-04	1	true
0.866667      	DICPCG	9.768670e-03	3.722890e-04	1	true
0.87037       	DICPCG	9.740560e-03	3.835900e-04	1	true
0.874074      	DICPCG	9.890830e-03	4.315570e-04	1	true
0.877778      	DICPCG	8.960430e-03	3.587270e-04	1	true
0.881481      	DICPCG	8.572700e-03	2.529900e-04	1	true
0.885185      	DICPCG	8.708510e-03	2.671790e-04	1	true
0.888889      	DICPCG	8.802300e-03	2.600780e-04	1	true
0.892593      	DICPCG	8.754330e-03	2.604310e-04	1	true
0.896296      	DICPCG	8.822380e-03	2.649390e-04	1	true
0.9           	DICPCG	8.552300e-03	2.333170e-04	1	true
0.904167      	DICPCG	9.561080e-03	2.763220e-04	1	true
0.908333      	DICPCG	1.012710e-02	3.326620e-04	1	true
0.912698      	DICPCG	1.051850e-02	3.296860e-04	1	true
0.917063      	DICPCG	1.052970e-02	2.929360e-04	1	true
0.921671      	DICPCG	1.108280e-02	3.027720e-04	1	true
0.926279      	DICPCG	1.103330e-02	2.716680e-04	1	true
0.930886      	DICPCG	1.097040e-02	2.819550e-04	1	true
0.935494      	DICPCG	1.129640e-02	3.498860e-04	1	true
0.939794      	DICPCG	1.097010e-02	3.501050e-04	1	true
0.944095      	DICPCG	1.136510e-02	3.727460e-04	1	true
0.948395      	DICPCG	1.120470e-02	3.785020e-04	1	true
0.952365      	DICPCG	9.809860e-03	2.799210e-04	1	true
0.956029      	DICPCG	9.137330e-03	2.714140e-04	1	true
0.959693      	DICPCG	9.067150e-03	2.408610e-04	1	true
0.963052      	DICPCG	8.300300e-03	2.404680e-04	1	true
0.966131      	DICPCG	7.636020e-03	2.286250e-04	1	true
0.96921       	DICPCG	7.779260e-03	2.406670e-04	1	true
0.972289      	DICPCG	7.903030e-03	2.741790e-04	1	true
0.975368      	DICPCG	7.883860e-03	2.741970e-04	1	true
0.978887      	DICPCG	9.020240e-03	3.095120e-04	1	true
0.982406      	DICPCG	8.812770e-03	2.843390e-04	1	true
0.985925      	DICPCG	8.549400e-03	2.602880e-04	1	true
0.989443      	DICPCG	8.637890e-03	2.774660e-04	1	true
0.992962      	DICPCG	8.558860e-03	2.546590e-04	1	true
0.996481      	DICPCG	8.565060e-03	2.522950e-04	1	true
1             	DICPCG	8.613650e-03	2.754390e-04	1	true
1.0037        	DICPCG	9.055590e-03	2.888110e-04	1	true
1.00741       	DICPCG	9.030940e-03	2.770530e-04	1	true
1.01127       	DICPCG	9.454060e-03	3.203250e-04	1	true
1.01512       	DICPCG	9.419910e-03	3.233990e-04	1	true
1.01917       	DICPCG	9.672070e-03	3.308060e-04	1	true
1.02321       	DICPCG	9.424290e-03	3.162480e-04	1	true
1.02725       	DICPCG	9.193360e-03	3.277590e-04	1	true
1.03153       	DICPCG	9.240440e-03	3.262610e-04	1	true
1.03556       	DICPCG	8.441790e-03	3.181610e-04	1	true
1.03958       	DICPCG	7.470350e-03	2.229180e-04	1	true
1.04361       	DICPCG	7.616590e-03	1.814060e-04	1	true
1.04764       	DICPCG	7.688920e-03	1.851080e-04	1	true
1.05167       	DICPCG	7.627220e-03	1.793220e-04	1	true
1.05569       	DICPCG	7.641800e-03	1.817480e-04	1	true
1.05972       	DICPCG	7.638690e-03	1.734570e-04	1	true
1.06375       	DICPCG	7.755580e-03	1.877810e-04	1	true
1.06778       	DICPCG	7.804050e-03	1.929990e-04	1	true
1.07181       	DICPCG	8.017270e-03	2.242250e-04	1	true
1.07583       	DICPCG	8.051620e-03	2.207830e-04	1	true
1.07986       	DICPCG	8.027230e-03	2.158340e-04	1	true
1.08389       	DICPCG	7.990140e-03	2.103470e-04	1	true
1.08792       	DICPCG	7.868590e-03	2.112880e-04	1	true
1.09194       	DICPCG	7.664160e-03	1.866210e-04	1	true
1.09597       	DICPCG	7.633620e-03	1.831160e-04	1	true
1.1           	DICPCG	7.631180e-03	1.802390e-04	1	true
1.10417       	DICPCG	8.035140e-03	2.076630e-04	1	true
1.10833       	DICPCG	8.088180e-03	2.090430e-04	1	true
1.1125        	DICPCG	8.264720e-03	2.120120e-04	1	true
1.11667       	DICPCG	8.348530e-03	2.170500e-04	1	true
1.12083       	DICPCG	8.419740e-03	2.188640e-04	1	true
1.125         	DICPCG	8.478000e-03	2.298000e-04	1	true
1.12941       	DICPCG	8.961620e-03	2.501060e-04	1	true
1.13382       	DICPCG	8.733240e-03	2.407430e-04	1	true
1.13824       	DICPCG	8.733890e-03	2.353330e-04	1	true
1.14265       	DICPCG	8.695820e-03	2.460850e-04	1	true
1.14706       	DICPCG	8.721190e-03	2.591410e-04	1	true
1.15147       	DICPCG	8.768230e-03	2.634120e-04	1	true
1.15588       	DICPCG	8.707110e-03	2.501430e-04	1	true
1.16029       	DICPCG	8.773620e-03	2.520490e-04	1	true
1.16426       	DICPCG	8.163870e-03	2.592590e-04	1	true
1.16873       	DICPCG	9.427720e-03	2.978010e-04	1	true
1.1732        	DICPCG	9.661590e-03	2.984600e-04	1	true
1.17767       	DICPCG	9.876720e-03	3.139430e-04	1	true
1.18213       	DICPCG	1.010530e-02	3.272660e-04	1	true
1.1866        	DICPCG	1.002480e-02	3.153700e-04	1	true
1.19107       	DICPCG	1.012820e-02	3.175580e-04	1	true
1.19553       	DICPCG	1.024250e-02	3.219100e-04	1	true
1.2           	DICPCG	1.007630e-02	3.018150e-04	1	true
1.205         	DICPCG	1.120650e-02	3.523930e-04	1	true
1.21028       	DICPCG	1.173460e-02	4.007670e-04	1	true
1.21526       	DICPCG	1.072140e-02	3.500600e-04	1	true
1.22025       	DICPCG	1.045400e-02	3.426950e-04	1	true
1.22494       	DICPCG	9.755120e-03	3.258850e-04	1	true
1.22963       	DICPCG	9.856600e-03	3.769760e-04	1	true
1.23432       	DICPCG	9.676550e-03	3.723050e-04	1	true
1.23901       	DICPCG	9.091690e-03	3.556260e-04	1	true
1.2437        	DICPCG	8.370700e-03	3.116880e-04	1	true
1.2484        	DICPCG	8.346310e-03	2.557760e-04	1	true
1.25309       	DICPCG	8.391830e-03	2.436130e-04	1	true
1.25778       	DICPCG	8.409370e-03	2.351610e-04	1	true
1.26247       	DICPCG	8.420520e-03	2.230560e-04	1	true
1.26664       	DICPCG	7.719050e-03	2.294350e-04	1	true
1.27141       	DICPCG	8.828930e-03	2.624190e-04	1	true
