#x[m]	temp[K]	p[Pa]	rho[kg/m3]	u[m/s]
-5.0	348.432	100000.0	0.9996462441060816	0.0
-4.9	348.432	100000.0	0.9996462441060816	0.0
-4.800000000000001	348.432	100000.0	0.9996462441060816	0.0
-4.700000000000001	348.432	100000.0	0.9996462441060816	0.0
-4.600000000000001	348.432	100000.0	0.9996462441060816	0.0
-4.500000000000002	348.432	100000.0	0.9996462441060816	0.0
-4.400000000000002	348.432	100000.0	0.9996462441060816	0.0
-4.3000000000000025	348.432	100000.0	0.9996462441060816	0.0
-4.200000000000003	348.432	100000.0	0.9996462441060816	0.0
-4.100000000000003	348.432	100000.0	0.9996462441060816	0.0
-4.0000000000000036	348.432	100000.0	0.9996462441060816	0.0
-3.900000000000004	348.432	100000.0	0.9996462441060816	0.0
-3.8000000000000043	348.432	100000.0	0.9996462441060816	0.0
-3.7000000000000046	348.432	100000.0	0.9996462441060816	0.0
-3.600000000000005	348.432	100000.0	0.9996462441060816	0.0
-3.5000000000000053	348.432	100000.0	0.9996462441060816	0.0
-3.4000000000000057	348.432	100000.0	0.9996462441060816	0.0
-3.300000000000006	348.432	100000.0	0.9996462441060816	0.0
-3.2000000000000064	348.432	100000.0	0.9996462441060816	0.0
-3.1000000000000068	348.432	100000.0	0.9996462441060816	0.0
-3.000000000000007	348.432	100000.0	0.9996462441060816	0.0
-2.9000000000000075	348.432	100000.0	0.9996462441060816	0.0
-2.800000000000008	348.432	100000.0	0.9996462441060816	0.0
-2.700000000000008	348.432	100000.0	0.9996462441060816	0.0
-2.6000000000000085	347.5625099544783	99129.31811347808	0.9934215259929486	2.336138733997236
-2.500000000000009	343.14853505521404	94792.59312147553	0.9621806684426084	14.240900638759134
-2.4000000000000092	338.7627678608516	90619.515507101	0.9317307647605861	26.145662543521034
-2.3000000000000096	334.4052083713908	86604.90650109293	0.9020566999858511	38.05042444828293
-2.20000000000001	330.07585658683183	82743.71928232913	0.8731435529583014	49.95518635304488
-2.1000000000000103	325.7747125071745	79031.03644019611	0.8449765950682786	61.85994825780678
-2.0000000000000107	321.50177613241885	75462.06746970635	0.8175412890060918	73.76471016256863
-1.900000000000011	317.25704746256497	72032.14629914853	0.7908232875115331	85.66947206733057
-1.8000000000000114	313.04052649761286	68736.72885006001	0.7648084321234011	97.57423397209247
-1.7000000000000117	308.8522132375623	65571.39062930693	0.7394827519290158	109.4789958768544
-1.600000000000012	304.6921076824136	62531.824353061886	0.7148324623137455	121.3837577816163
-1.5000000000000124	300.56020983216655	59613.8376024628	0.6908439637105167	133.28851968637818
-1.4000000000000128	296.45651968682125	56813.350510744734	0.6675038403493427	145.19328159114008
-1.3000000000000131	292.3810372463776	54126.393481627885	0.6447988590068373	157.09804349590198
-1.2000000000000135	288.33376251083575	51549.104938752185	0.6227159677557381	169.0028054006639
-1.1000000000000139	284.31469548019555	49077.7291059436	0.6012422947144227	180.90756730542583
-1.0000000000000142	280.3238361544571	46708.613818101316	0.5803651467964317	192.81232921018767
-0.9000000000000146	276.36118453362036	44438.20836249147	0.5600720084599852	204.71709111494965
-0.8000000000000149	272.4267406176853	42263.061350236276	0.5403505404575054	216.6218530197115
-0.7000000000000153	268.5205044066519	40179.818617784484	0.5211885785851331	228.5266149244734
-0.6000000000000156	264.6424759005203	38185.22115815177	0.5025741324322499	240.43137682923535
-0.500000000000016	260.7926550992904	36276.10308171742	0.4844953841309969	252.3361387339972
-0.40000000000001634	256.9710420029622	34449.38960636503	0.46694068710579306	264.2409006387592
-0.3000000000000167	253.17763661153577	32702.09507675491	0.44989856482285706	276.14566254352104
-0.20000000000001705	249.412438925011	31031.32101251462	0.43335770953972486	288.050424448283
-0.10000000000001741	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
-1.7763568394002505e-14	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.09999999999998188	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.19999999999998153	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.29999999999998117	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.3999999999999808	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.49999999999998046	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.5999999999999801	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.6999999999999797	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.7999999999999794	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.899999999999979	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
0.9999999999999787	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.0999999999999783	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.199999999999978	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.2999999999999776	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.3999999999999773	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.499999999999977	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.5999999999999766	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.6999999999999762	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.7999999999999758	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.8999999999999755	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
1.9999999999999751	247.74907053074122	30313.005632409207	0.42616849292913583	293.3382502791207
