# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	epsilon_solver	epsilon_initial	epsilon_final 	epsilon_iters 	epsilon_converged
22            	DILUPBiCGStab	1.301250e-02	6.265870e-09	4	2.409900e-02	1.698990e-09	4	false	DILUPBiCGStab	3.491480e-02	1.726340e-09	3	true	GAMG	3.354030e-02	7.030510e-05	3	true	DILUPBiCGStab	2.126770e-02	6.767460e-09	3	true
23            	DILUPBiCGStab	1.257300e-02	4.425740e-09	4	2.335900e-02	1.277470e-09	4	false	DILUPBiCGStab	3.198170e-02	1.113010e-10	3	true	GAMG	3.197580e-02	6.863960e-05	3	true	DILUPBiCGStab	1.899850e-02	9.642800e-11	3	true
24            	DILUPBiCGStab	1.215180e-02	5.914720e-09	4	2.297410e-02	9.968760e-09	4	false	DILUPBiCGStab	2.958330e-02	1.279140e-10	3	true	GAMG	2.987140e-02	6.547670e-05	3	true	DILUPBiCGStab	1.719380e-02	4.550070e-11	3	true
25            	DILUPBiCGStab	1.172930e-02	6.959550e-09	4	2.257320e-02	8.282400e-09	4	false	DILUPBiCGStab	2.822810e-02	3.299770e-10	3	true	GAMG	2.773150e-02	5.616520e-05	3	true	DILUPBiCGStab	1.589610e-02	1.248500e-10	3	true
26            	DILUPBiCGStab	1.143290e-02	5.113890e-09	4	2.207940e-02	7.184370e-09	4	false	DILUPBiCGStab	2.665150e-02	3.548060e-10	3	true	GAMG	2.610760e-02	6.056370e-05	3	true	DILUPBiCGStab	1.484460e-02	7.625560e-11	3	true
27            	DILUPBiCGStab	1.111060e-02	4.267870e-09	4	2.176650e-02	6.951840e-09	4	false	DILUPBiCGStab	2.507410e-02	6.344980e-10	3	true	GAMG	2.572950e-02	5.481390e-05	3	true	DILUPBiCGStab	1.415440e-02	6.621730e-11	3	true
28            	DILUPBiCGStab	1.088690e-02	2.673460e-09	4	2.151690e-02	2.503550e-09	4	false	DILUPBiCGStab	2.418880e-02	1.556270e-10	3	true	GAMG	2.593920e-02	5.403130e-05	3	true	DILUPBiCGStab	1.309970e-02	6.167580e-11	3	true
29            	DILUPBiCGStab	1.065020e-02	2.772000e-09	4	2.128380e-02	1.857930e-09	4	false	DILUPBiCGStab	2.289930e-02	2.674790e-10	3	true	GAMG	2.507490e-02	5.295260e-05	3	true	DILUPBiCGStab	1.270010e-02	8.417570e-11	3	true
30            	DILUPBiCGStab	1.045250e-02	2.291190e-09	4	2.112190e-02	9.289160e-09	4	false	DILUPBiCGStab	2.186840e-02	1.810700e-10	3	true	GAMG	2.452320e-02	4.900300e-05	3	true	DILUPBiCGStab	1.199030e-02	4.845250e-11	3	true
31            	DILUPBiCGStab	1.025890e-02	1.786680e-09	4	2.087300e-02	8.838350e-09	4	false	DILUPBiCGStab	2.086800e-02	1.263580e-09	3	true	GAMG	2.354830e-02	4.595190e-05	3	true	DILUPBiCGStab	1.169030e-02	7.527020e-11	3	true
