# y+ ()       
# Time        	patch         	min           	max           	average       
100           	body	1.412856e+01	1.576304e+02	6.207562e+01
100           	head	6.602678e+00	1.885127e+02	7.021688e+01
100           	leg	1.333435e+01	5.625580e+01	3.211822e+01
100           	slant	2.535865e+01	4.663307e+02	7.950571e+01
100           	ground	8.798637e+01	2.431566e+03	2.752994e+02
200           	body	1.563491e+01	2.023608e+02	6.953393e+01
200           	head	5.992872e+00	2.068451e+02	7.147403e+01
200           	leg	1.895096e+01	7.241853e+01	4.649778e+01
200           	slant	3.966678e+01	4.572307e+02	8.432272e+01
200           	ground	3.889146e+01	3.808692e+03	4.056566e+02
300           	body	1.498809e+01	2.247421e+02	7.175694e+01
300           	head	6.248987e+00	2.096679e+02	7.050561e+01
300           	leg	2.051857e+01	8.308077e+01	5.238413e+01
300           	slant	2.494122e+01	5.080097e+02	7.619055e+01
300           	ground	3.871437e+01	4.820307e+03	4.284613e+02
400           	body	1.667136e+01	2.390227e+02	7.199071e+01
400           	head	6.656198e+00	1.650984e+02	6.812447e+01
400           	leg	1.527813e+01	8.399937e+01	5.098542e+01
400           	slant	2.696473e+01	5.533756e+02	6.661759e+01
400           	ground	3.871325e+01	4.874014e+03	4.537591e+02
500           	body	1.562106e+01	2.357307e+02	7.195378e+01
500           	head	7.006091e+00	1.632618e+02	6.804397e+01
500           	leg	1.408652e+01	8.394747e+01	5.057329e+01
500           	slant	2.549198e+01	5.783883e+02	6.026390e+01
500           	ground	3.871278e+01	6.074456e+03	4.873670e+02
600           	body	1.726395e+01	2.321329e+02	7.177253e+01
600           	head	6.737921e+00	1.632426e+02	6.803177e+01
600           	leg	1.405486e+01	8.272684e+01	5.014670e+01
600           	slant	2.743084e+01	5.792972e+02	5.844747e+01
600           	ground	3.871315e+01	6.721234e+03	4.993799e+02
700           	body	1.623161e+01	2.313665e+02	7.150839e+01
700           	head	7.087860e+00	1.632587e+02	6.801902e+01
700           	leg	1.402502e+01	8.303386e+01	5.030075e+01
700           	slant	2.704530e+01	5.722205e+02	5.689037e+01
700           	ground	3.871413e+01	6.921752e+03	4.962003e+02
800           	body	1.881363e+01	2.308190e+02	7.133360e+01
800           	head	7.207437e+00	1.632965e+02	6.800520e+01
800           	leg	1.401535e+01	8.278506e+01	5.017048e+01
800           	slant	2.674755e+01	5.695545e+02	5.628612e+01
800           	ground	3.871445e+01	6.977457e+03	4.919584e+02
900           	body	1.595543e+01	2.309419e+02	7.120755e+01
900           	head	6.543098e+00	1.633038e+02	6.800154e+01
900           	leg	1.400594e+01	8.260457e+01	4.998541e+01
900           	slant	2.635929e+01	5.675575e+02	5.585794e+01
900           	ground	3.871458e+01	7.259438e+03	4.889239e+02
1000          	body	1.731427e+01	2.307221e+02	7.118200e+01
1000          	head	6.185584e+00	1.632913e+02	6.801850e+01
1000          	leg	1.401208e+01	8.208084e+01	4.978453e+01
1000          	slant	2.624773e+01	5.672508e+02	5.563901e+01
1000          	ground	3.871476e+01	7.513731e+03	4.876839e+02
