66461
(
( 0  ( (0  0  0)  (0  0   0.00000000114) )) 
( 0.00005  ( (0  0  0)  (0  0   0.001194) )) 
( 0.0059  ( (0  0  0)  (0  0   0.002388) )) 
( 0.0072  ( (0  0  0)  (0  0   0.003582) )) 
( 0.0085  ( (0  0  0)  (0  0   0.004777) )) 
( 0.0098  ( (0  0  0)  (0  0   0.005971) )) 
( 0.0114  ( (0  0  0)  (0  0   0.007165) )) 
( 0.01275  ( (0  0  0)  (0  0   0.008359) )) 
( 0.01405  ( (0  0  0)  (0  0   0.009553) )) 
( 0.01525  ( (0  0  0)  (0  0   0.010747) )) 
( 0.0166  ( (0  0  0)  (0  0   0.011942) )) 
( 0.01785  ( (0  0  0)  (0  0   0.013136) )) 
( 0.0191  ( (0  0  0)  (0  0   0.01433) )) 
( 0.02005  ( (0  0  0)  (0  0   0.015524) )) 
( 0.021  ( (0  0  0)  (0  0   0.016718) )) 
( 0.0219  ( (0  0  0)  (0  0   0.017912) )) 
( 0.0228  ( (0  0  0)  (0  0   0.019107) )) 
( 0.0236  ( (0  0  0)  (0  0   0.020301) )) 
( 0.02455  ( (0  0  0)  (0  0   0.021495) )) 
( 0.02545  ( (0  0  0)  (0  0   0.022689) )) 
( 0.0264  ( (0  0  0)  (0  0   0.023883) )) 
( 0.0272  ( (0  0  0)  (0  0   0.025077) )) 
( 0.028  ( (0  0  0)  (0  0   0.026272) )) 
( 0.02875  ( (0  0  0)  (0  0   0.027466) )) 
( 0.02945  ( (0  0  0)  (0  0   0.02866) )) 
( 0.0301  ( (0  0  0)  (0  0   0.029854) )) 
( 0.0308  ( (0  0  0)  (0  0   0.031048) )) 
( 0.0315  ( (0  0  0)  (0  0   0.032242) )) 
( 0.03225  ( (0  0  0)  (0  0   0.033436) )) 
( 0.0329  ( (0  0  0)  (0  0   0.034631) )) 
( 0.03365  ( (0  0  0)  (0  0   0.035825) )) 
( 0.03435  ( (0  0  0)  (0  0   0.037019) )) 
( 0.03505  ( (0  0  0)  (0  0   0.038213) )) 
( 0.03565  ( (0  0  0)  (0  0   0.039407) )) 
( 0.0363  ( (0  0  0)  (0  0   0.040601) )) 
( 0.03685  ( (0  0  0)  (0  0   0.041796) )) 
( 0.03745  ( (0  0  0)  (0  0   0.04299) )) 
( 0.038  ( (0  0  0)  (0  0   0.044184) )) 
( 0.0386  ( (0  0  0)  (0  0   0.045378) )) 
( 0.03915  ( (0  0  0)  (0  0   0.046572) )) 
( 0.03975  ( (0  0  0)  (0  0   0.047766) )) 
( 0.04025  ( (0  0  0)  (0  0   0.048961) )) 
( 0.0409  ( (0  0  0)  (0  0   0.050155) )) 
( 0.04145  ( (0  0  0)  (0  0   0.051349) )) 
( 0.04205  ( (0  0  0)  (0  0   0.052543) )) 
( 0.0426  ( (0  0  0)  (0  0   0.053737) )) 
( 0.0432  ( (0  0  0)  (0  0   0.054931) )) 
( 0.04375  ( (0  0  0)  (0  0   0.056126) )) 
( 0.04435  ( (0  0  0)  (0  0   0.05732) )) 
( 0.04485  ( (0  0  0)  (0  0   0.058514) )) 
( 0.0454  ( (0  0  0)  (0  0   0.059708) )) 
( 0.0459  ( (0  0  0)  (0  0   0.060902) )) 
( 0.04645  ( (0  0  0)  (0  0   0.062096) )) 
( 0.0469  ( (0  0  0)  (0  0   0.06329) )) 
( 0.04745  ( (0  0  0)  (0  0   0.064485) )) 
( 0.0479  ( (0  0  0)  (0  0   0.065679) )) 
( 0.04845  ( (0  0  0)  (0  0   0.066873) )) 
( 0.04895  ( (0  0  0)  (0  0   0.068067) )) 
( 0.04945  ( (0  0  0)  (0  0   0.069261) )) 
( 0.05  ( (0  0  0)  (0  0   0.070455) )) 
( 0.05055  ( (0  0  0)  (0  0   0.07165) )) 
( 0.051  ( (0  0  0)  (0  0   0.072844) )) 
( 0.05155  ( (0  0  0)  (0  0   0.074038) )) 
( 0.05205  ( (0  0  0)  (0  0   0.075232) )) 
( 0.0526  ( (0  0  0)  (0  0   0.076426) )) 
( 0.05305  ( (0  0  0)  (0  0   0.07762) )) 
( 0.0535  ( (0  0  0)  (0  0   0.078815) )) 
( 0.054  ( (0  0  0)  (0  0   0.080009) )) 
( 0.05445  ( (0  0  0)  (0  0   0.081203) )) 
( 0.0549  ( (0  0  0)  (0  0   0.082397) )) 
( 0.05535  ( (0  0  0)  (0  0   0.083591) )) 
( 0.0558  ( (0  0  0)  (0  0   0.084785) )) 
( 0.0563  ( (0  0  0)  (0  0   0.08598) )) 
( 0.05675  ( (0  0  0)  (0  0   0.087174) )) 
( 0.05725  ( (0  0  0)  (0  0   0.088368) )) 
( 0.0577  ( (0  0  0)  (0  0   0.089562) )) 
( 0.0582  ( (0  0  0)  (0  0   0.090756) )) 
( 0.05865  ( (0  0  0)  (0  0   0.09195) )) 
( 0.05915  ( (0  0  0)  (0  0   0.093144) )) 
( 0.0596  ( (0  0  0)  (0  0   0.094339) )) 
( 0.0601  ( (0  0  0)  (0  0   0.095533) )) 
( 0.06055  ( (0  0  0)  (0  0   0.096727) )) 
( 0.061  ( (0  0  0)  (0  0   0.097921) )) 
( 0.06145  ( (0  0  0)  (0  0   0.099115) )) 
( 0.06195  ( (0  0  0)  (0  0   0.100309) )) 
( 0.0624  ( (0  0  0)  (0  0   0.101504) )) 
( 0.06285  ( (0  0  0)  (0  0   0.102698) )) 
( 0.0633  ( (0  0  0)  (0  0   0.103892) )) 
( 0.0638  ( (0  0  0)  (0  0   0.105086) )) 
( 0.0642  ( (0  0  0)  (0  0   0.10628) )) 
( 0.0647  ( (0  0  0)  (0  0   0.107474) )) 
( 0.0651  ( (0  0  0)  (0  0   0.108669) )) 
( 0.0656  ( (0  0  0)  (0  0   0.109863) )) 
( 0.06605  ( (0  0  0)  (0  0   0.111057) )) 
( 0.06655  ( (0  0  0)  (0  0   0.112251) )) 
( 0.067  ( (0  0  0)  (0  0   0.113445) )) 
( 0.0675  ( (0  0  0)  (0  0   0.114639) )) 
( 0.0679  ( (0  0  0)  (0  0   0.115834) )) 
( 0.0684  ( (0  0  0)  (0  0   0.117028) )) 
( 0.06885  ( (0  0  0)  (0  0   0.118222) )) 
( 0.06935  ( (0  0  0)  (0  0   0.119416) )) 
( 0.0698  ( (0  0  0)  (0  0   0.12061) )) 
( 0.0703  ( (0  0  0)  (0  0   0.121804) )) 
( 0.07075  ( (0  0  0)  (0  0   0.122999) )) 
( 0.07125  ( (0  0  0)  (0  0   0.124193) )) 
( 0.07165  ( (0  0  0)  (0  0   0.125387) )) 
( 0.07215  ( (0  0  0)  (0  0   0.126581) )) 
( 0.0726  ( (0  0  0)  (0  0   0.127775) )) 
( 0.0731  ( (0  0  0)  (0  0   0.128969) )) 
( 0.07355  ( (0  0  0)  (0  0   0.130164) )) 
( 0.074  ( (0  0  0)  (0  0   0.131358) )) 
( 0.0745  ( (0  0  0)  (0  0   0.132552) )) 
( 0.075  ( (0  0  0)  (0  0   0.133746) )) 
( 0.07545  ( (0  0  0)  (0  0   0.13494) )) 
( 0.07595  ( (0  0  0)  (0  0   0.136134) )) 
( 0.0764  ( (0  0  0)  (0  0   0.137328) )) 
( 0.0769  ( (0  0  0)  (0  0   0.138523) )) 
( 0.07735  ( (0  0  0)  (0  0   0.139717) )) 
( 0.07785  ( (0  0  0)  (0  0   0.140911) )) 
( 0.07835  ( (0  0  0)  (0  0   0.142105) )) 
( 0.07885  ( (0  0  0)  (0  0   0.143299) )) 
( 0.07935  ( (0  0  0)  (0  0   0.144493) )) 
( 0.07985  ( (0  0  0)  (0  0   0.145688) )) 
( 0.08035  ( (0  0  0)  (0  0   0.146882) )) 
( 0.0809  ( (0  0  0)  (0  0   0.148076) )) 
( 0.08135  ( (0  0  0)  (0  0   0.14927) )) 
( 0.0819  ( (0  0  0)  (0  0   0.150464) )) 
( 0.0824  ( (0  0  0)  (0  0   0.151658) )) 
( 0.0829  ( (0  0  0)  (0  0   0.152853) )) 
( 0.0834  ( (0  0  0)  (0  0   0.154047) )) 
( 0.08395  ( (0  0  0)  (0  0   0.155241) )) 
( 0.08445  ( (0  0  0)  (0  0   0.156435) )) 
( 0.085  ( (0  0  0)  (0  0   0.157629) )) 
( 0.08545  ( (0  0  0)  (0  0   0.158823) )) 
( 0.08605  ( (0  0  0)  (0  0   0.160018) )) 
( 0.08655  ( (0  0  0)  (0  0   0.161212) )) 
( 0.08715  ( (0  0  0)  (0  0   0.162406) )) 
( 0.08765  ( (0  0  0)  (0  0   0.1636) )) 
( 0.08825  ( (0  0  0)  (0  0   0.164794) )) 
( 0.0888  ( (0  0  0)  (0  0   0.165988) )) 
( 0.0894  ( (0  0  0)  (0  0   0.167183) )) 
( 0.08995  ( (0  0  0)  (0  0   0.168377) )) 
( 0.09055  ( (0  0  0)  (0  0   0.169571) )) 
( 0.0911  ( (0  0  0)  (0  0   0.170765) )) 
( 0.0917  ( (0  0  0)  (0  0   0.171959) )) 
( 0.0922  ( (0  0  0)  (0  0   0.173153) )) 
( 0.09285  ( (0  0  0)  (0  0   0.174348) )) 
( 0.0934  ( (0  0  0)  (0  0   0.175542) )) 
( 0.09405  ( (0  0  0)  (0  0   0.176736) )) 
( 0.0946  ( (0  0  0)  (0  0   0.17793) )) 
( 0.09525  ( (0  0  0)  (0  0   0.179124) )) 
( 0.0959  ( (0  0  0)  (0  0   0.180318) )) 
( 0.0966  ( (0  0  0)  (0  0   0.181513) )) 
( 0.0972  ( (0  0  0)  (0  0   0.182707) )) 
( 0.09785  ( (0  0  0)  (0  0   0.183901) )) 
( 0.0985  ( (0  0  0)  (0  0   0.185095) )) 
( 0.09915  ( (0  0  0)  (0  0   0.186289) )) 
( 0.09975  ( (0  0  0)  (0  0   0.187483) )) 
( 0.1004  ( (0  0  0)  (0  0   0.188678) )) 
( 0.101  ( (0  0  0)  (0  0   0.189872) )) 
